width,changed_count,total_trials,changed_rate
5.000000,60,10000,0.0060000000
10.000000,62,10000,0.0062000000
15.000000,70,10000,0.0070000000
20.000000,64,10000,0.0064000000
25.000000,101,10000,0.0101000000
30.000000,115,10000,0.0115000000
35.000000,123,10000,0.0123000000
40.000000,162,10000,0.0162000000
45.000000,265,10000,0.0265000000
50.000000,525,10000,0.0525000000
55.000000,618,10000,0.0618000000
60.000000,584,10000,0.0584000000
65.000000,440,10000,0.0440000000
70.000000,373,10000,0.0373000000
75.000000,326,10000,0.0326000000
80.000000,268,10000,0.0268000000
85.000000,290,10000,0.0290000000
90.000000,265,10000,0.0265000000
95.000000,238,10000,0.0238000000
100.000000,226,10000,0.0226000000
105.000000,236,10000,0.0236000000
110.000000,259,10000,0.0259000000
115.000000,256,10000,0.0256000000
120.000000,218,10000,0.0218000000
125.000000,249,10000,0.0249000000
130.000000,194,10000,0.0194000000
135.000000,231,10000,0.0231000000
140.000000,177,10000,0.0177000000
145.000000,210,10000,0.0210000000
150.000000,218,10000,0.0218000000
155.000000,196,10000,0.0196000000
160.000000,168,10000,0.0168000000
165.000000,168,10000,0.0168000000
170.000000,153,10000,0.0153000000
175.000000,151,10000,0.0151000000
180.000000,136,10000,0.0136000000
185.000000,119,10000,0.0119000000
190.000000,109,10000,0.0109000000
195.000000,94,10000,0.0094000000
200.000000,111,10000,0.0111000000
205.000000,95,10000,0.0095000000
210.000000,81,10000,0.0081000000
215.000000,90,10000,0.0090000000
220.000000,85,10000,0.0085000000
225.000000,65,10000,0.0065000000
230.000000,63,10000,0.0063000000
235.000000,61,10000,0.0061000000
240.000000,51,10000,0.0051000000
245.000000,49,10000,0.0049000000
250.000000,45,10000,0.0045000000
255.000000,51,10000,0.0051000000
260.000000,48,10000,0.0048000000
265.000000,34,10000,0.0034000000
270.000000,46,10000,0.0046000000
275.000000,33,10000,0.0033000000
280.000000,29,10000,0.0029000000
285.000000,32,10000,0.0032000000
290.000000,35,10000,0.0035000000
295.000000,32,10000,0.0032000000
300.000000,24,10000,0.0024000000
305.000000,26,10000,0.0026000000
310.000000,24,10000,0.0024000000
315.000000,28,10000,0.0028000000
320.000000,22,10000,0.0022000000
325.000000,10,10000,0.0010000000
330.000000,16,10000,0.0016000000
335.000000,26,10000,0.0026000000
340.000000,17,10000,0.0017000000
345.000000,13,10000,0.0013000000
350.000000,10,10000,0.0010000000
355.000000,14,10000,0.0014000000
360.000000,15,10000,0.0015000000
365.000000,10,10000,0.0010000000
370.000000,14,10000,0.0014000000
375.000000,17,10000,0.0017000000
380.000000,12,10000,0.0012000000
385.000000,7,10000,0.0007000000
390.000000,11,10000,0.0011000000
395.000000,5,10000,0.0005000000
400.000000,6,10000,0.0006000000
405.000000,5,10000,0.0005000000
410.000000,8,10000,0.0008000000
415.000000,7,10000,0.0007000000
420.000000,7,10000,0.0007000000
425.000000,7,10000,0.0007000000
430.000000,8,10000,0.0008000000
435.000000,9,10000,0.0009000000
440.000000,8,10000,0.0008000000
445.000000,3,10000,0.0003000000
450.000000,3,10000,0.0003000000
455.000000,7,10000,0.0007000000
460.000000,5,10000,0.0005000000
465.000000,5,10000,0.0005000000
470.000000,6,10000,0.0006000000
475.000000,5,10000,0.0005000000
480.000000,3,10000,0.0003000000
485.000000,0,10000,0.0000000000
490.000000,2,10000,0.0002000000
495.000000,3,10000,0.0003000000
500.000000,2,10000,0.0002000000
505.000000,4,10000,0.0004000000
510.000000,2,10000,0.0002000000
515.000000,3,10000,0.0003000000
520.000000,4,10000,0.0004000000
525.000000,4,10000,0.0004000000
530.000000,2,10000,0.0002000000
535.000000,1,10000,0.0001000000
540.000000,0,10000,0.0000000000
545.000000,1,10000,0.0001000000
550.000000,2,10000,0.0002000000
555.000000,4,10000,0.0004000000
560.000000,2,10000,0.0002000000
565.000000,1,10000,0.0001000000
570.000000,2,10000,0.0002000000
575.000000,2,10000,0.0002000000
580.000000,1,10000,0.0001000000
585.000000,1,10000,0.0001000000
590.000000,3,10000,0.0003000000
595.000000,2,10000,0.0002000000
600.000000,1,10000,0.0001000000
605.000000,2,10000,0.0002000000
610.000000,1,10000,0.0001000000
615.000000,5,10000,0.0005000000
620.000000,2,10000,0.0002000000
625.000000,2,10000,0.0002000000
630.000000,2,10000,0.0002000000
635.000000,0,10000,0.0000000000
640.000000,2,10000,0.0002000000
645.000000,1,10000,0.0001000000
650.000000,2,10000,0.0002000000
655.000000,0,10000,0.0000000000
660.000000,1,10000,0.0001000000
665.000000,2,10000,0.0002000000
670.000000,0,10000,0.0000000000
675.000000,1,10000,0.0001000000
680.000000,2,10000,0.0002000000
685.000000,3,10000,0.0003000000
690.000000,3,10000,0.0003000000
695.000000,1,10000,0.0001000000
700.000000,1,10000,0.0001000000
705.000000,0,10000,0.0000000000
710.000000,0,10000,0.0000000000
715.000000,1,10000,0.0001000000
720.000000,0,10000,0.0000000000
725.000000,0,10000,0.0000000000
730.000000,0,10000,0.0000000000
735.000000,1,10000,0.0001000000
740.000000,1,10000,0.0001000000
745.000000,0,10000,0.0000000000
750.000000,0,10000,0.0000000000
755.000000,2,10000,0.0002000000
760.000000,0,10000,0.0000000000
765.000000,0,10000,0.0000000000
770.000000,1,10000,0.0001000000
775.000000,1,10000,0.0001000000
780.000000,1,10000,0.0001000000
785.000000,0,10000,0.0000000000
790.000000,0,10000,0.0000000000
795.000000,0,10000,0.0000000000
800.000000,0,10000,0.0000000000
805.000000,0,10000,0.0000000000
810.000000,2,10000,0.0002000000
815.000000,0,10000,0.0000000000
820.000000,0,10000,0.0000000000
825.000000,0,10000,0.0000000000
830.000000,0,10000,0.0000000000
835.000000,1,10000,0.0001000000
840.000000,0,10000,0.0000000000
845.000000,0,10000,0.0000000000
850.000000,0,10000,0.0000000000
855.000000,1,10000,0.0001000000
860.000000,0,10000,0.0000000000
865.000000,1,10000,0.0001000000
870.000000,1,10000,0.0001000000
875.000000,0,10000,0.0000000000
880.000000,0,10000,0.0000000000
885.000000,1,10000,0.0001000000
890.000000,0,10000,0.0000000000
895.000000,0,10000,0.0000000000
900.000000,0,10000,0.0000000000
905.000000,0,10000,0.0000000000
910.000000,0,10000,0.0000000000
915.000000,0,10000,0.0000000000
920.000000,0,10000,0.0000000000
925.000000,1,10000,0.0001000000
930.000000,1,10000,0.0001000000
935.000000,1,10000,0.0001000000
940.000000,0,10000,0.0000000000
945.000000,0,10000,0.0000000000
